date_iso8061,temperature_celsius,rpm,vibration_speed_ms,vibration_acc_ms2,vibration_displacement_mm,humidity,ac_amperes,status
2016-09-05T13:49:27.897Z,30.20,18100,1.70000,0.00000,12.25000,20.15,20.05000,2
2016-09-05T13:49:28.197Z,29.90,18000,1.70000,0.00000,12.50000,20.05,19.95000,4
2016-09-05T13:49:28.497Z,29.60,18100,2.20000,-0.50000,12.25000,19.95,20.05000,4
2016-09-05T13:49:28.797Z,29.60,18000,2.10000,-0.50000,12.00000,20.05,20.15000,1
2016-09-05T13:49:29.097Z,29.80,18100,2.10000,-0.70000,12.25000,20.15,20.25000,5
2016-09-05T13:49:29.397Z,30.00,18000,2.10000,-0.50000,12.50000,20.25,20.35000,5
2016-09-05T13:49:29.697Z,29.80,17900,1.70000,-0.60000,12.25000,20.35,20.45000,4
2016-09-05T13:49:29.997Z,30.30,17800,1.30000,-0.70000,12.50000,20.45,20.55000,0
2016-09-05T13:49:30.297Z,30.20,17700,1.80000,-0.70000,12.25000,20.55,20.45000,4
2016-09-05T13:49:30.597Z,30.40,17800,1.90000,-0.60000,12.00000,20.45,20.55000,4
2016-09-05T13:49:30.897Z,30.60,17700,2.20000,-0.60000,11.75000,20.55,20.65000,4
2016-09-05T13:49:31.197Z,31.10,17800,2.00000,-0.30000,11.50000,20.65,20.55000,1
2016-09-05T13:49:31.497Z,31.40,17700,1.70000,-0.50000,11.75000,20.55,20.65000,2
2016-09-05T13:49:31.797Z,31.00,17600,1.60000,-1.00000,11.50000,20.65,20.55000,3
2016-09-05T13:49:32.097Z,30.70,17700,2.10000,-0.60000,11.75000,20.55,20.65000,5
2016-09-05T13:49:32.397Z,30.30,17800,2.60000,-0.40000,12.00000,20.65,20.55000,5
2016-09-05T13:49:32.697Z,30.60,17700,2.60000,-0.40000,12.25000,20.55,20.65000,1
2016-09-05T13:49:32.997Z,30.90,17800,2.60000,0.00000,12.00000,20.65,20.75000,5
2016-09-05T13:49:33.297Z,30.40,17700,2.40000,-0.10000,11.75000,20.75,20.65000,2
2016-09-05T13:49:33.597Z,30.30,17800,1.90000,-0.10000,12.00000,20.65,20.75000,3
2016-09-05T13:49:33.897Z,30.40,17700,2.30000,0.10000,12.25000,20.75,20.85000,5
2016-09-05T13:49:34.197Z,30.60,17600,2.50000,0.30000,12.50000,20.85,20.95000,5
2016-09-05T13:49:34.497Z,31.00,17500,2.90000,0.60000,12.75000,20.95,20.85000,4
2016-09-05T13:49:34.797Z,31.00,17400,2.90000,0.60000,13.00000,20.85,20.95000,3
2016-09-05T13:49:35.097Z,30.80,17300,3.40000,1.00000,12.75000,20.95,21.05000,5
2016-09-05T13:49:35.397Z,30.60,17200,3.70000,1.10000,12.50000,21.05,21.15000,3
2016-09-05T13:49:35.697Z,30.70,17300,3.60000,1.30000,12.75000,21.15,21.05000,2
2016-09-05T13:49:35.997Z,30.60,17400,3.90000,0.90000,13.00000,21.05,21.15000,1
2016-09-05T13:49:36.297Z,30.40,17300,4.40000,0.80000,13.25000,21.15,21.05000,2
2016-09-05T13:49:36.597Z,30.60,17400,4.70000,1.10000,13.00000,21.05,21.15000,1
2016-09-05T13:49:36.897Z,30.40,17500,4.20000,1.10000,12.75000,21.15,21.05000,0
2016-09-05T13:49:37.197Z,30.60,17600,4.60000,1.60000,12.50000,21.05,20.95000,2
2016-09-05T13:49:37.497Z,30.90,17500,4.60000,1.60000,12.75000,20.95,21.05000,3
2016-09-05T13:49:37.797Z,31.00,17400,4.90000,1.40000,13.00000,21.05,20.95000,3
2016-09-05T13:49:38.097Z,31.20,17300,5.00000,1.60000,12.75000,20.95,20.85000,2
2016-09-05T13:49:38.397Z,30.70,17400,4.70000,1.80000,13.00000,20.85,20.75000,1
2016-09-05T13:49:38.697Z,30.20,17500,4.70000,1.40000,12.75000,20.75,20.85000,4
2016-09-05T13:49:38.997Z,30.30,17600,4.30000,1.90000,13.00000,20.85,20.95000,4
2016-09-05T13:49:39.297Z,29.90,17500,4.70000,1.40000,13.25000,20.95,20.85000,0
2016-09-05T13:49:39.597Z,30.30,17600,4.50000,1.30000,13.00000,20.85,20.75000,5
2016-09-05T13:49:39.897Z,30.50,17500,4.70000,1.80000,13.25000,20.75,20.85000,2
2016-09-05T13:49:40.197Z,30.20,17600,4.70000,1.50000,13.00000,20.85,20.75000,0
2016-09-05T13:49:40.497Z,30.70,17700,4.20000,1.10000,12.75000,20.75,20.85000,2
2016-09-05T13:49:40.797Z,30.40,17800,4.10000,1.40000,13.00000,20.85,20.75000,3
2016-09-05T13:49:41.097Z,30.00,17700,4.10000,1.30000,12.75000,20.75,20.65000,1
2016-09-05T13:49:41.397Z,30.10,17600,3.70000,1.40000,13.00000,20.65,20.75000,2
